cus_id,tong_don,tong_tien,tongdon_cod,thuho_tongdon,don_ptc,don_ptc_cod,thu_ho
15954059,62259,1147384681.0,56297,44865719030.0,59555.0,54987.0,43716128504.0
15954084,4447,49926601.0,3101,1432014002.0,2752.0,2261.0,909565002.0
15954094,2966,33767400.0,2106,960883004.0,1808.0,1531.0,616474004.0
15954146,5186,59604998.0,3726,1741798606.0,3429.0,2855.0,1183051608.0
15954344,1375,25093489.0,1000,1591360000.0,762.0,757.0,1226390000.0
15954369,14467,284051152.0,13298,8547402201.0,13157.0,12482.0,8011213202.0
15954904,544,133153568.0,340,881767000.0,409.0,276.0,773945000.0
15954976,989,69834655.0,754,2506376199.0,751.0,579.0,1842819199.0
15954984,11558,202182804.0,10938,2839437500.0,10480.0,10307.0,2665301500.0
15955366,1397,30459224.0,1229,293530801.0,976.0,901.0,204080801.0
15955395,1691,32997945.0,1556,386945001.0,1432.0,1391.0,348875001.0
15955503,1300,29327679.0,848,80159000.0,900.0,615.0,57758500.0
15955626,2171,51601729.0,1968,868114000.0,1333.0,1242.0,570335000.0
15955756,1704,62439276.0,1143,350423000.0,1321.0,890.0,276057000.0
15955820,1467,168285874.0,404,624425500.0,1345.0,372.0,581203000.0
15955856,4842,113624305.0,4523,679005101.0,4314.0,4294.0,644275101.0
15956019,4960,99127744.0,4021,1143890000.0,4032.0,3309.0,944469100.0
15956050,907,30921003.0,653,232616000.0,751.0,538.0,198106000.0
15956161,3065,72875493.0,2678,2331624001.0,2338.0,2274.0,1988139001.0
15956231,5078,80057500.0,4518,396395005.0,4108.0,4084.0,357623010.0
15956267,915,15800199.0,743,357012000.0,657.0,637.0,300072000.0
15956342,10738,154943753.0,8110,3850544203.0,9317.0,7406.0,3458484305.0
15956388,951,16016862.0,0,0.0,666.0,0.0,0.0
15956443,1673,116546746.0,1484,1354739009.0,1133.0,1107.0,1010924009.0
15956578,2963,54800742.0,2519,489916001.0,2406.0,2244.0,435618001.0
15956781,4565,69738251.0,4040,340165107.0,3615.0,3575.0,299255108.0
15956839,7272,325399545.0,6610,3725993329.0,6446.0,6175.0,3498558329.0
15956845,9423,268585839.0,8051,20101096100.0,7714.0,7096.0,17725949900.0
15956974,2703,98869735.0,1518,783018000.0,2383.0,1363.0,673743000.0
15957045,8304,135554772.0,7103,1677993004.0,7076.0,6435.0,1490483004.0
15957093,1712,31384392.0,1104,919592008.0,1241.0,867.0,697540000.0
15957108,2388,59192369.0,1197,350922000.0,1642.0,831.0,249293000.0
15957124,1303,20239502.0,1139,172493102.0,1034.0,998.0,151494103.0
15957153,3665,65870934.0,3301,590462002.0,2942.0,2833.0,497644002.0
15957161,960,20352907.0,454,412649000.0,825.0,411.0,386670000.0
15957223,1210,61750121.0,793,197638001.0,823.0,534.0,130621000.0
15957467,5730,105662624.0,5427,828675000.0,5095.0,5056.0,774015000.0
15957592,22,169363519.0,0,0.0,4.0,0.0,0.0
15957613,1002,20166316.0,0,0.0,571.0,0.0,0.0
15957637,5388,40263998.0,0,0.0,4910.0,0.0,0.0
15957703,1024,90506351.0,650,305834000.0,562.0,383.0,192448000.0
15957780,6573,106505140.0,5819,3267847000.0,5707.0,5292.0,2988628000.0
15957806,9853,514421430.0,8580,11824336316.0,8464.0,7329.0,10083470384.0
15957811,1094,30430982.0,831,126123000.0,544.0,418.0,63578000.0
15957816,2368,67561747.0,0,0.0,2001.0,0.0,0.0
15957828,18822,294175213.0,15722,13627760050.0,13380.0,13257.0,11534515050.0
15957891,27094,459348026.0,24242,6656012943.0,21663.0,21417.0,5901392946.0
15957892,7034,111632737.0,5046,2620176000.0,6559.0,4743.0,2473526000.0
15957914,788,127240524.0,706,1002060000.0,488.0,451.0,672400000.0
15957970,15856,219213060.0,14135,2263724316.0,12652.0,12540.0,2007503918.0
15957984,7814,149645933.0,7312,11190697600.0,6703.0,6400.0,9831222600.0
15958000,1307,51372875.0,775,885159999.0,1085.0,675.0,778649999.0
15958033,8332,167503447.0,6960,2579338000.0,7763.0,6519.0,2415535000.0
15958055,1031,17841558.0,922,322263000.0,877.0,797.0,264939000.0
15958254,1614,93543211.0,1460,1930446000.0,1292.0,1198.0,1577756000.0
15958260,650,664149303.0,0,0.0,464.0,0.0,0.0
15958396,4427,74445127.0,4017,605548000.0,3729.0,3706.0,556468001.0
15958408,1695,143875435.0,908,2925246000.0,1284.0,693.0,2256309000.0
15958547,13875,246567104.0,12238,9698714500.0,12433.0,11486.0,8992874500.0
15958624,6476,112480317.0,5994,1171190109.0,5388.0,5371.0,1050683109.0
15958925,10154,85123250.0,0,0.0,2008.0,0.0,0.0
15959133,1410,42248538.0,1325,406187000.0,1277.0,1245.0,382698000.0
15959175,557,135081210.0,0,0.0,408.0,0.0,0.0
15959658,1586,62583425.0,0,0.0,1194.0,0.0,0.0
15959674,975,63841213.0,580,692000000.0,864.0,518.0,633650000.0
15959675,2777,46579380.0,344,242141000.0,2628.0,298.0,217256000.0
15959691,9020,134679182.0,8510,682925701.0,8156.0,7999.0,639852701.0
15959746,2605,84091901.0,2339,1544382000.0,2165.0,2012.0,1346027000.0
15959756,1466,50087145.0,585,122900500.0,873.0,356.0,75499000.0
15959777,1229,27235339.0,757,739616000.0,730.0,458.0,447186000.0
15959806,12382,140729068.0,8311,4608558043.0,5032.0,4679.0,2513145053.0
15959865,1887,46851960.0,1701,1227488555.0,1531.0,1419.0,1021048555.0
15959878,2007,34893536.0,1815,444235216.0,1142.0,1062.0,267204008.0
15959880,3968,44837982.0,3014,944778003.0,2150.0,2104.0,654598065.0
15959882,5610,107472234.0,5239,1335676101.0,4693.0,4635.0,1174313103.0
15959979,1621,154191613.0,0,0.0,1310.0,0.0,0.0
15959984,2957,44603401.0,2387,829005501.0,1949.0,1878.0,638647501.0
15959994,1055,67093216.0,652,643169291.0,929.0,579.0,574171293.0
15960004,1560,76207241.0,927,891274000.0,1357.0,850.0,830452000.0
15960098,1883,84461023.0,5,2495000.0,1216.0,3.0,1585000.0
15960161,3293,66505333.0,2220,1056242008.0,2788.0,1930.0,899742008.0
15960243,1743,56119665.0,1613,941587000.0,1619.0,1519.0,888762000.0
15960375,925,76552079.0,790,334025000.0,454.0,436.0,181118000.0
15960423,2022,27066595.0,27,802000.0,1973.0,27.0,802000.0
15960439,3497,60324800.0,240,3811000.0,3244.0,226.0,3602000.0
15960500,2460,54726798.0,1,340000.0,2284.0,1.0,340000.0
15960566,28187,525765994.0,25676,5869999049.0,23645.0,23367.0,5336073049.0
15960648,4218,176017769.0,3418,7549150959.0,3590.0,3013.0,6605322559.0
15960690,1094,20634132.0,979,296416901.0,433.0,397.0,116163001.0
15960910,1084,31231469.0,42,47212500.0,832.0,30.0,35638500.0
15960941,2878,101684497.0,2646,954534000.0,2324.0,2264.0,816404000.0
